settlement_period,datetime_utc,bus,vm,va_deg,p_inj_mw,q_inj_mvar
3,2026-06-22T00:00:00Z,1,1.0292902694666346,0.28348289096851115,-121.85274746114825,-20.68624917848537
3,2026-06-22T00:00:00Z,2,1.1232751956116855,10.69277940182618,-15.264197657989925,-6.7291182837285195
3,2026-06-22T00:00:00Z,3,1.0248677752660655,0.3153578606097518,-122.44112048395944,-27.64432562103875
3,2026-06-22T00:00:00Z,4,0.997178485199963,-1.1642801301534464,-181.2010042112642,-42.194080241650454
3,2026-06-22T00:00:00Z,5,1.1424045630881217,11.580891846145667,7.622519095485984,-1.4234295131792734
3,2026-06-22T00:00:00Z,6,1.0218257601122798,0.19276070152130143,-27.744014553782353,-3.410485107845872
3,2026-06-22T00:00:00Z,7,1.0298368736518952,0.7229871081291416,-96.96664477162051,-5.68509698599944
3,2026-06-22T00:00:00Z,8,1.0034966491581012,-0.3707020693374652,-53.28156691429689,-13.674988444005564
3,2026-06-22T00:00:00Z,9,1.1273663909268268,11.896269446897561,-9.41459876145788,-6.277012012560188
3,2026-06-22T00:00:00Z,10,1.1290918319205971,9.758747199625734,1.1180267582817984,0.8455554093480944
3,2026-06-22T00:00:00Z,11,1.1475749773431523,10.71739071671538,0.21098309801947296,0.20772284209153763
3,2026-06-22T00:00:00Z,12,1.0212686856475133,0.21007184125003983,-45.55970197544844,-8.819308809809275
3,2026-06-22T00:00:00Z,13,1.1149842873815714,8.981762746148968,-13.232077134656747,-0.554819701797343
3,2026-06-22T00:00:00Z,14,1.116099672980782,9.868883075461788,-15.547922653760828,-2.541016132230527
3,2026-06-22T00:00:00Z,15,1.1193046853941402,9.994784450879754,-9.369552007378628,-1.5049025172198358
3,2026-06-22T00:00:00Z,16,0.9976228706393286,-0.7678390359042793,-35.909804926607144,-9.984802153729362
3,2026-06-22T00:00:00Z,17,1.137620611662087,11.31158954740115,0.0599644192166596,-321.40429666370534
3,2026-06-22T00:00:00Z,18,0.9962485787297432,-1.1918520574819658,-43.72407666879711,-10.983484203816039
